Timestamp color_1_R color_1_G color_1_B color_1_proportion color_2_R color_2_G color_2_B color_2_proportion color_3_R color_3_G color_3_B color_3_proportion
2014-04-07_19-42-11 62.53057 37.309994 59.62736 0.50842529296875 201.05737 205.16052 223.95815 0.31326171875 167.218 85.20937 70.53592 0.17831298828125
2016-02-28_12-01-12 217.87761 189.89406 159.71985 0.5408710562414266 26.473684 17.307245 13.178104 0.24631258573388204 123.643005 96.03682 77.73469 0.21281635802469137
2016-07-23_19-16-20 136.0861 144.56322 144.82991 0.37009052924791086 216.93037 221.06676 216.53284 0.36947152584339216 54.760086 45.223064 66.35593 0.260437944908697
2017-06-20_14-42-37 203.0125 198.8068 203.02644 0.4271656378600823 40.892235 30.707693 22.911592 0.33709619341563785 165.8191 92.09476 66.78214 0.23573816872427983
2016-07-01_14-01-54 204.5013 205.43265 205.06729 0.4792065663474692 39.13821 46.30556 47.11138 0.2908674063940822 118.84903 130.1291 137.71144 0.2299260272584486
2019-04-22_12-01-15 17.146828 15.651894 17.06866 0.744320987654321 65.09948 68.092735 114.8135 0.17727777777777778 192.80292 193.9615 191.69241 0.07840123456790124
2017-08-28_12-01-23 38.367496 42.325874 31.296883 0.3755402666116952 153.12933 160.14441 162.98228 0.34504311825740397 116.60208 107.194275 79.38176 0.2794166151309008
2017-05-06_13-11-22 13.09826 4.1326118 8.73103 0.794278549382716 86.39196 56.79704 131.73329 0.13384902263374485 202.9957 172.53963 177.66838 0.0718724279835391
2015-05-15_23-56-39 57.924175 46.7939 41.721867 0.48036865234375 157.03922 86.69497 63.250275 0.3055322265625 209.548 172.65663 176.42384 0.21409912109375
2016-05-06_16-27-22 213.15819 211.70659 206.07138 0.8768923611111111 13.651671 13.622995 11.181689 0.07930989583333334 147.74026 86.14895 79.89109 0.04379774305555555
2014-03-20_11-58-03 227.91373 209.73645 184.4995 0.364931640625 23.68352 29.689615 29.933977 0.35561767578125 123.49304 111.531975 102.96698 0.27945068359375
2015-11-03_14-08-12 26.473202 21.80039 15.2599325 0.7151274651274652 82.9462 54.854156 41.996967 0.23113676447009782 198.27348 184.52954 166.96715 0.05373577040243707
2016-06-22_10-00-49 8.001945 8.758247 9.833357 0.8196624228395062 50.815624 59.47464 79.64813 0.11925925925925926 138.65335 153.58734 158.23737 0.061078317901234566
2015-05-02_17-34-02 40.370346 40.655254 42.27848 0.57138916015625 105.17907 104.92409 105.90686 0.311552734375 195.4795 207.5781 212.608 0.11705810546875
2016-09-22_19-46-04 27.940403 15.8631735 21.890707 0.5016353276353276 55.056652 126.34754 182.4475 0.3380925925925926 188.51398 112.17773 77.4131 0.16027207977207977
2017-10-19_13-21-16 86.171265 70.81083 26.320415 0.33871194093599366 18.41043 16.011599 4.3382525 0.3379965220574776 176.48993 129.55528 48.986572 0.3232915370065288
2017-07-21_21-28-56 73.310326 27.836235 58.616993 0.4203444383427909 40.781597 134.41759 228.81549 0.30521538837024836 192.48201 169.1027 214.6942 0.27444017328696074
2016-10-01_14-30-21 71.56011 22.450329 54.357216 0.4682270233196159 173.0234 46.867153 141.98578 0.3096906721536351 214.31873 158.88646 211.03352 0.22208230452674896
2014-07-03_12-45-00 35.542362 34.907284 59.237743 0.55234375 66.72373 86.90996 132.74202 0.29732177734375 184.47029 175.07692 167.25758 0.15033447265625
2015-04-23_20-55-44 212.87355 189.15704 172.56328 0.5171240234375 110.20985 116.13645 110.16605 0.26432861328125 33.74635 36.46282 39.44576 0.21854736328125
2015-03-27_14-26-45 25.65053 47.53986 69.235344 0.42617431640625 222.1363 194.24458 191.63307 0.29635986328125 110.26944 124.24097 126.79705 0.2774658203125
2018-02-01_17-28-33 223.08812 222.73912 198.13115 0.702019890260631 26.44579 57.78629 69.223564 0.14950874485596707 139.58362 173.6745 155.24297 0.14847136488340193
2016-09-14_06-32-39 29.512886 17.764849 20.205837 0.6722968106995885 131.42787 76.74287 68.57133 0.22474665637860083 192.21768 178.25017 196.73509 0.1029565329218107
2018-01-14_12-35-06 196.65746 192.20132 179.80469 0.48185579196217493 27.048552 23.866442 22.085604 0.3023607827685842 118.64454 99.44711 83.66794 0.21578342526924088
2017-06-23_13-21-44 39.57505 39.72281 35.24543 0.41056241426611795 121.42343 105.50627 78.87703 0.3462534293552812 208.27988 191.44118 136.901 0.24318415637860083
2018-10-10_15-14-29 21.03809 11.73063 8.596189 0.6105787037037037 60.23802 41.68973 26.663368 0.28023533950617285 117.43933 86.50719 60.453075 0.10918595679012345
2017-10-05_13-21-44 24.450054 23.238256 27.018127 0.4521996461040942 192.02493 196.1906 195.98264 0.30479895051558975 90.85269 85.79928 72.62292 0.24300140338031606
2014-12-06_21-28-01 72.56435 79.06524 43.554455 0.42145263671875 175.7999 147.18895 80.468025 0.3382958984375 243.68361 235.9046 207.16907 0.24025146484375
2018-01-03_15-59-02 36.717484 10.850258 24.630367 0.5807047325102881 210.83446 47.28808 73.51315 0.3204616769547325 148.34392 6.6787505 194.91296 0.09883359053497942
2016-06-15_13-13-30 219.07635 199.9865 186.36707 0.4558799941673957 102.81791 120.18001 114.640045 0.29458782929911537 29.526108 44.02646 30.459429 0.24953217653348886
2015-03-14_14-33-54 35.411373 14.772299 60.41 0.478017578125 45.50387 15.933205 187.46089 0.3028955078125 204.85934 160.00737 160.96991 0.2190869140625
2018-12-19_15-12-06 48.622177 44.688126 37.606747 0.7256577932098766 114.71528 73.96771 44.20363 0.2486496913580247 174.08589 180.29025 127.399345 0.025692515432098766
2019-03-14_09-38-34 8.729981 26.60944 41.019814 0.5259417126540922 17.634344 72.839966 111.88185 0.4142451198418582 179.03229 198.73036 211.32947 0.059813167504049636
2015-07-25_17-05-29 36.96006 38.254593 29.078283 0.40474451303155007 239.00258 239.01016 239.047 0.32182013031550066 148.74484 140.68999 123.121155 0.27343535665294927
2017-04-12_13-33-21 77.81071 27.387888 44.63066 0.5388288993218571 179.21152 80.867516 84.5341 0.3406129368805425 240.17871 182.37112 157.06192 0.12055816379760041
2015-04-20_17-46-46 16.274614 12.906003 33.67644 0.5828857421875 162.11038 106.18508 66.16868 0.24051513671875 215.76616 195.64119 141.8495 0.17659912109375
2015-12-21_18-05-07 163.87105 187.0661 229.54985 0.3818513381620178 61.71552 115.53857 201.00627 0.32405352648071095 38.991764 53.76976 75.26802 0.2940951353572713
2015-06-15_14-59-30 28.12596 14.397267 20.670021 0.49372314453125 230.9804 221.73033 199.7073 0.27366455078125 136.78345 104.631645 95.33321 0.2326123046875
2018-03-18_12-55-39 40.662502 22.881592 22.562315 0.6448471535786198 236.54848 226.90869 222.03352 0.18228232350967113 148.8869 109.803925 103.994156 0.17287052291170907
2015-07-24_17-43-37 42.90955 46.609913 43.982677 0.385166015625 237.57513 230.46165 220.81563 0.33764404296875 141.4152 130.85056 113.282425 0.27718994140625
