year;edition;visitors;weekends;w1_start;w1_end;w2_start;w2_end;vstrs_p_day
2013;TML;180000;1;26/07/2013;28/07/2013;;;60000
2014;TML;360000;2;18/07/2014;20/07/2014;25/07/2014;27/07/2014;60000
2015;TML;180000;1;24/07/2015;26/07/2015;;;60000
2016;TML;180000;1;22/07/2016;24/07/2016;;;60000
2017;TML;400000;2;21/07/2017;23/07/2017;28/07/2017;30/07/2017;66667
2018;TML;400000;2;20/07/2018;22/07/2018;27/07/2018;29/07/2018;66667
2019;TML;400000;2;19/07/2019;21/07/2019;26/07/2019;28/07/2019;66667
